brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
Abarth,500e Convertible,155,37.8,Lithium-ion,192,235,156,225,7.0,67,CCS,0,185,4,FWD,B - Compact,3673,1683,1518,Hatchback,https://ev-database.org/car/1904/Abarth-500e-Convertible
Abarth,500e Hatchback,155,37.8,Lithium-ion,192,235,149,225,7.0,67,CCS,0,185,4,FWD,B - Compact,3673,1683,1518,Hatchback,https://ev-database.org/car/1903/Abarth-500e-Hatchback
Abarth,600e Scorpionissima,200,50.8,Lithium-ion,102,345,158,280,5.9,79,CCS,0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,https://ev-database.org/car/3057/Abarth-600e-Scorpionissima
Abarth,600e Turismo,200,50.8,Lithium-ion,102,345,158,280,6.2,79,CCS,0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,https://ev-database.org/car/3056/Abarth-600e-Turismo
Audi,A6 Avant e-tron,210,75.8,Lithium-ion,150,435,146,465,6.0,150,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/3055/Audi-A6-Avant-e-tron
Audi,A6 Avant e-tron performance,210,94.9,Lithium-ion,180,565,151,575,5.4,200,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/2272/Audi-A6-Avant-e-tron-performance
Audi,A6 Avant e-tron quattro,210,94.9,Lithium-ion,180,855,157,560,4.5,200,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/3054/Audi-A6-Avant-e-tron-quattro
Audi,A6 Sportback e-tron,210,75.8,Lithium-ion,150,435,136,495,6.0,150,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/3053/Audi-A6-Sportback-e-tron
Audi,A6 Sportback e-tron performance,210,94.9,Lithium-ion,180,565,141,610,5.4,200,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/2270/Audi-A6-Sportback-e-tron-performance
Audi,A6 Sportback e-tron quattro,210,94.9,Lithium-ion,180,855,147,590,4.7,200,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/3052/Audi-A6-Sportback-e-tron-quattro
Audi,Q4 Sportback e-tron 40,160,59.0,Lithium-ion,216,310,156,340,8.1,110,CCS,1000,520,5,RWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/3149/Audi-Q4-Sportback-e-tron-40
Audi,Q4 Sportback e-tron 45,180,77.0,Lithium-ion,288,545,162,435,6.7,120,CCS,1000,535,5,RWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45
Audi,Q4 Sportback e-tron 45 quattro,180,77.0,Lithium-ion,288,679,165,410,6.6,120,CCS,1200,535,5,AWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro
Audi,Q4 Sportback e-tron 55 quattro,180,77.0,Lithium-ion,288,679,165,415,5.4,120,CCS,1200,535,5,AWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2018/Audi-Q4-Sportback-e-tron-55-quattro
Audi,Q4 e-tron 40,160,59.0,Lithium-ion,216,310,159,325,8.1,110,CCS,1000,520,5,RWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/3148/Audi-Q4-e-tron-40
Audi,Q4 e-tron 45,180,77.0,Lithium-ion,288,545,169,420,6.7,120,CCS,1000,520,5,RWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2013/Audi-Q4-e-tron-45
Audi,Q4 e-tron 45 quattro,180,77.0,Lithium-ion,288,679,171,395,6.6,120,CCS,1200,520,5,AWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro
Audi,Q4 e-tron 55 quattro,180,77.0,Lithium-ion,288,679,171,395,5.4,120,CCS,1200,520,5,AWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro
Audi,Q6 e-tron,210,75.8,Lithium-ion,150,450,166,395,7.0,150,CCS,2000,526,5,RWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2281/Audi-Q6-e-tron
Audi,Q6 e-tron Sportback,210,75.8,Lithium-ion,150,450,139,410,7.0,150,CCS,2000,511,5,RWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3041/Audi-Q6-e-tron-Sportback
Audi,Q6 e-tron Sportback performance,210,94.9,Lithium-ion,180,485,145,510,6.6,190,CCS,2000,511,5,RWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3042/Audi-Q6-e-tron-Sportback-performance
Audi,Q6 e-tron Sportback quattro,210,94.9,Lithium-ion,180,855,149,500,5.9,200,CCS,2400,511,5,AWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3043/Audi-Q6-e-tron-Sportback-quattro
Audi,Q6 e-tron performance,210,94.9,Lithium-ion,180,485,171,490,6.6,190,CCS,2000,526,5,RWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2215/Audi-Q6-e-tron-performance
Audi,Q6 e-tron quattro,210,94.9,Lithium-ion,180,855,176,480,5.9,200,CCS,2400,10 Banana Boxes,5,AWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro
Audi,S6 Avant e-tron,240,94.9,Lithium-ion,180,855,156,530,3.9,200,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1493,Station/Estate,https://ev-database.org/car/2273/Audi-S6-Avant-e-tron
Audi,S6 Sportback e-tron,240,94.9,Lithium-ion,180,855,149,555,3.9,200,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1465,Liftback Sedan,https://ev-database.org/car/2271/Audi-S6-Sportback-e-tron
Audi,SQ6 e-tron,230,94.9,Lithium-ion,180,855,169,470,4.3,200,CCS,2400,514,5,AWD,JD - Large,4771,1965,1685,SUV,https://ev-database.org/car/2147/Audi-SQ6-e-tron
Audi,SQ6 e-tron Sportback,230,94.9,Lithium-ion,180,855,164,495,4.3,200,CCS,2400,511,5,AWD,JD - Large,4771,1965,1665,SUV,https://ev-database.org/car/3044/Audi-SQ6-e-tron-Sportback
Audi,e-tron GT RS,250,97.0,Lithium-ion,396,865,184,525,2.8,281,CCS,0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan,https://ev-database.org/car/2220/Audi-e-tron-GT-RS
Audi,e-tron GT RS performance,250,97.0,Lithium-ion,396,1027,182,525,2.5,281,CCS,0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan,https://ev-database.org/car/2221/Audi-e-tron-GT-RS-performance
Audi,e-tron GT S,245,97.0,Lithium-ion,396,740,172,540,3.4,281,CCS,0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan,https://ev-database.org/car/2219/Audi-e-tron-GT-S
Audi,e-tron GT quattro,245,97.0,Lithium-ion,396,625,169,540,4.0,281,CCS,0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan,https://ev-database.org/car/3182/Audi-e-tron-GT-quattro
BMW,i4 M50,225,81.3,Lithium-ion,,795,197,450,3.9,131,CCS,1600,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2201/BMW-i4-M50
BMW,i4 eDrive35,190,67.1,Lithium-ion,,400,174,430,6.0,95,CCS,1600,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2198/BMW-i4-eDrive35
BMW,i4 eDrive40,190,81.3,Lithium-ion,,430,174,515,5.6,131,CCS,1600,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2199/BMW-i4-eDrive40
BMW,i4 xDrive40,200,81.3,Lithium-ion,,600,183,490,5.1,131,CCS,1600,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2200/BMW-i4-xDrive40
BMW,i5 M60 xDrive Sedan (MY25),230,81.2,Lithium-ion,,795,172,430,3.8,136,CCS,2000,490,5,AWD,E - Executive,5060,1900,1505,Sedan,https://ev-database.org/car/3114/BMW-i5-M60-xDrive-Sedan
BMW,i5 M60 xDrive Touring (MY25),230,81.2,Lithium-ion,,795,179,425,3.9,136,CCS,2000,570,5,AWD,E - Executive,5060,1900,1505,Station/Estate,https://ev-database.org/car/3117/BMW-i5-M60-xDrive-Touring
BMW,i5 eDrive40 Sedan (MY25),193,81.2,Lithium-ion,,400,159,480,6.0,136,CCS,1500,490,5,RWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan
BMW,i5 eDrive40 Touring (MY25),193,81.2,Lithium-ion,,400,165,465,6.1,136,CCS,1500,570,5,RWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3115/BMW-i5-eDrive40-Touring
BMW,i5 xDrive40 Sedan (MY25),215,81.2,Lithium-ion,,590,167,465,5.4,136,CCS,2000,490,5,AWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3113/BMW-i5-xDrive40-Sedan
BMW,i5 xDrive40 Touring (MY25),215,81.2,Lithium-ion,,590,174,450,5.5,136,CCS,2000,570,5,AWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3116/BMW-i5-xDrive40-Touring
BMW,i7 M70 xDrive,250,101.7,Lithium-ion,,1100,208,490,3.7,159,CCS,0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1838/BMW-i7-M70-xDrive
BMW,i7 eDrive50,205,101.7,Lithium-ion,,650,177,520,5.5,159,CCS,0,500,5,RWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1905/BMW-i7-eDrive50
BMW,i7 xDrive60,240,101.7,Lithium-ion,,745,172,510,4.7,159,CCS,2000,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1676/BMW-i7-xDrive60
BMW,iX M70 xDrive,250,108.9,Lithium-ion,,1015,209,500,3.8,150,CCS,2500,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3111/BMW-iX-M70-xDrive
BMW,iX xDrive45,200,94.8,Lithium-ion,,700,193,470,5.1,115,CCS,2500,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3109/BMW-iX-xDrive45
BMW,iX xDrive60,200,109.1,Lithium-ion,,765,194,525,4.6,150,CCS,2500,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3110/BMW-iX-xDrive60
BMW,iX1 eDrive20,170,64.7,Lithium-ion,,247,150,390,8.3,94,CCS,750,490,5,FWD,JC - Medium,4500,1845,1616,SUV,https://ev-database.org/car/1996/BMW-iX1-eDrive20
BMW,iX1 xDrive30,180,64.7,Lithium-ion,,494,155,380,5.6,94,CCS,1200,490,5,AWD,JC - Medium,4500,1845,1616,SUV,https://ev-database.org/car/1701/BMW-iX1-xDrive30
BMW,iX2 eDrive20,170,64.7,Lithium-ion,,247,147,395,8.6,94,CCS,750,525,5,FWD,JC - Medium,4554,1845,1560,SUV,https://ev-database.org/car/2097/BMW-iX2-eDrive20
BMW,iX2 xDrive30,180,64.7,Lithium-ion,,494,155,385,5.6,94,CCS,1200,525,5,AWD,JC - Medium,4554,1845,1560,SUV,https://ev-database.org/car/2040/BMW-iX2-xDrive30
BYD,ATTO 2,160,45.1,Lithium-ion,,290,145,245,7.9,51,CCS,750,400,5,FWD,JB - Compact,4310,1830,1675,SUV,https://ev-database.org/car/3125/BYD-ATTO-2
BYD,ATTO 3 (MY25),160,60.5,Lithium-ion,126,310,144,340,7.3,75,CCS,750,440,5,FWD,JC - Medium,4455,1875,1615,SUV,https://ev-database.org/car/3192/BYD-ATTO-3
BYD,DOLPHIN 44.9 kWh Active,150,44.9,Lithium-ion,104,180,132,265,12.3,50,CCS,0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active
BYD,DOLPHIN 44.9 kWh Boost,160,44.9,Lithium-ion,104,,145,260,8.0,50,CCS,0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1918/BYD-DOLPHIN-449-kWh-Boost
BYD,DOLPHIN 60.4 kWh,160,60.5,Lithium-ion,126,310,142,350,7.0,65,CCS,0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh
BYD,DOLPHIN SURF 30 kWh Active,150,30.0,Lithium-ion,94,175,136,190,11.1,45,CCS,0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,https://ev-database.org/car/3193/BYD-DOLPHIN-SURF-30-kWh-Active
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.2,Lithium-ion,90,175,134,270,12.1,60,CCS,0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,https://ev-database.org/car/3194/BYD-DOLPHIN-SURF-432-kWh-Boost
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.2,Lithium-ion,90,220,139,265,9.1,60,CCS,0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,https://ev-database.org/car/3195/BYD-DOLPHIN-SURF-432-kWh-Comfort
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,Lithium-ion,128,380,133,365,7.5,75,CCS,750,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/3102/BYD-SEAL-614-kWh-RWD-Comfort
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,Lithium-ion,172,670,159,445,3.8,100,CCS,1500,400,5,AWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence
BYD,SEAL 82.5 kWh RWD Design,180,82.5,Lithium-ion,172,360,145,480,5.9,100,CCS,750,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design
BYD,SEAL U 71.8 kWh Comfort,175,71.8,Lithium-ion,132,310,171,360,9.3,72,CCS,1300,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort
BYD,SEAL U 87 kWh Design,175,87.0,Lithium-ion,160,330,174,425,9.6,85,CCS,1300,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,Lithium-ion,172,690,181,400,4.5,115,CCS,1500,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,Lithium-ion,172,380,171,415,6.7,115,CCS,750,520,5,RWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort
